,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
45,2020-10-01,89224.3,24105.8,89224281.05372998,84622602.74864998,4601678.305080001,89224281.05372998,27348110.49728398,23565536.115426205,33253696.394518998,5056938.0465,89224281.05372998,60214691.697208,9900033.945949998,23772929.5845,2819496.8426400004,10152813.64101,9440006.039748002,3508831.9935000003,620579.6498600001,12442138.22431,1961731.8334200005,8080339.485749999,6525379.813040002
46,2020-11-01,91093.5,24010.7,91093507.31223996,86255330.60578996,4838176.70645,91093507.31223996,28832513.453409992,23551887.32882601,33470452.079113003,5238654.45089,91093507.31223996,60913255.91404001,11401050.50442,23577259.62193001,2712393.48684,9625513.23871,9366000.91511,3600215.44108,630822.70595,12606465.754720002,2071758.23358,7962443.790279999,7539583.619620001
47,2020-12-01,115806.1,29931.1,115806128.11518,111830218.56443,3975909.55075,115806128.11518,36284788.051380016,31300615.016610008,41558670.65363998,6662054.393548,115806128.11518,80643208.2984066,19000862.4307321,29052388.41279859,3568526.30151,10374402.289710002,13502805.475350002,4262746.5995459,881476.7887600001,14197119.003489995,3022975.19777,7711912.075139999,10230913.54037
48,2021-01-01,98007.6,24420.0,98007583.25283,94524545.26598,3483037.9868500005,98007583.25283,31878415.60910801,26481717.359305102,34421611.729676,5225838.554741,98007583.25283,67171235.97265501,12982834.10476,24393220.467840005,2973192.4986529998,10138651.41012,11818373.501102,4076717.80431,788246.1858699999,14237729.536586003,2206737.4643900003,6405815.40872,7986064.870480001
49,2021-02-01,92954.2,22322.6,92954233.68111998,89908053.01556998,3046180.66555,92954233.68111998,30090418.939484,26089199.96886921,32111865.511882994,4662749.260879998,92954233.68111998,65274742.248134,12129210.025470003,23633068.01465,2964209.93213,10043345.31227,11768651.947894,3978725.70026,757531.3154599998,13331244.02528,1985959.50775,5106560.634039999,7255727.26592
50,2021-03-01,107225.9,24627.6,107225884.48978,103243215.2959,3982669.19388,107225884.48978,33646699.760530025,28304088.351349995,39721336.17659,5553760.2013112,107225884.48978,75459017.55465901,12468763.319620002,29069610.328839995,3638242.4525299994,11823788.248000002,13353172.975238996,4214424.174690001,891016.0557400002,14963310.65866,2205228.88445,6918341.6043300005,7679985.787682
51,2021-04-01,106870.2,23407.5,106870185.88608997,102742178.64234994,4128007.24374,106870185.88608997,33030717.33914999,28509160.0986,39528435.06,5801873.388339999,106870185.88608997,76493949.46388401,11739913.650000002,29827096.111789003,3616384.033422,12309094.615401998,14047026.358151,4041721.71468,912712.98044,14912712.276950002,2217601.1994699994,6042114.41201,7203808.53378
52,2021-05-01,110604.7,23368.4,110604694.56479998,104997658.23470998,5607036.33009,110604694.56479998,33391018.41487,29448299.39426999,41132600.50917,6632776.246490001,110604694.56479998,78026097.546298,10758291.66159,31328427.63126999,3801495.08008,13116541.50778,14204902.667358004,3924175.62047,892263.3777500001,14517188.309739998,2686103.38935,7849584.392559998,7525720.92685
53,2021-06-01,116287.9,23678.0,116287892.95615998,111477594.54618998,4810298.409969999,116287892.95615998,34735136.74001,32637663.36478999,42074159.71627,6840933.135089999,116287892.95615998,80623853.6640056,11744001.500854203,32622021.607925497,3921981.95258,13537963.9593117,14134807.8791205,3748454.1741137006,914622.5901,14484893.559882898,3640081.8683,9514178.63086,8024885.233111579
54,2021-07-01,125658.6,24779.5,125658552.53241004,120904098.31748004,4754454.214929999,125658552.53241004,37973547.560765006,37146178.898209,43727330.43950201,6811495.633934002,125658552.53241004,87238128.85006,13755772.3735,34683058.37417,4322896.980459999,14292062.104300003,15147184.62519,3985101.60666,1052052.7857800005,15724007.7101,4051857.5073,9222787.619859995,9421770.84509
55,2021-08-01,124840.3,23990.1,124840319.9624,120181530.94271998,4658789.019680001,124840319.9624,38180625.55514,35434522.94616999,44242610.352050014,6982561.109040003,124840319.9624,87044720.924779,13762712.181420004,34500426.752009995,4370305.272809998,14512831.617070002,14736387.947459005,4074608.9255400007,1087448.2284699995,15920169.13719,2944642.77484,8443256.199600002,10487530.925990002
56,2021-09-01,123002.3,22962.0,123002252.42976004,118585472.17123003,4416780.258529999,123002252.42976004,38080750.85783998,34575381.28240999,43445911.37943999,6900208.910069997,123002252.42976004,87296730.50595802,14164245.33567,34298836.964778006,4333686.607450002,14489891.670489997,14721979.88949,4184266.09273,1103823.94535,16336755.107219998,2805934.30525,7977185.49358,8585647.017749999
57,2021-10-01,140487.5,25386.7,140487487.26625,136000643.3463,4486843.91995,140487487.26625,43323345.69436999,39697514.9889,50159841.63313002,7306784.94985,140487487.26625,97615705.17147,17838460.219970003,37081602.26249,4773476.075109999,15561031.996109998,16349404.553149996,4785226.40222,1226503.66242,18501724.82248,3328328.42133,10919887.989030002,10121840.861939998
58,2021-11-01,141702.0,25026.6,141701960.658653,135950778.84937298,5751181.80928,141701960.658653,43762928.14926002,39925207.44942003,50752243.3906,7261581.669369999,141701960.658653,95609863.772648,18180428.405251,36354580.021517,4509964.850234001,14720418.135492,15761449.149066009,4869397.98133,1213625.2297579998,18664160.818021,3209173.082996,12754368.885413002,11464394.099573
59,2021-12-01,183983.2,31595.7,183983151.87992013,178866721.2456501,5116430.63427,183983151.87992013,56640033.14703597,55432191.368078016,62999676.15227599,8911251.21253,183983151.87992013,128135286.608957,31992432.645506,45199914.72278298,5859939.040923,16275221.460707003,21265049.446353,5863700.607899001,1679028.6847859996,21753939.727032,4759532.633840001,12669269.758664,16665123.151430003
60,2022-01-01,154517.1,25463.4,154517094.1819681,149697614.62836808,4819479.553599999,154517094.1819681,46962602.2164548,46053650.12931095,54048333.11802423,7452508.718179998,154517094.1819681,103783610.342116,20364496.479049,37505172.62385601,4860317.679927002,16104766.205035,17408486.728430998,6138441.197065001,1401929.4287529995,21330213.293162003,3782646.219391001,12187552.347016,13433071.980283003
61,2022-02-01,152202.6,23802.1,152202573.39011797,148406529.31365797,3796044.07646,152202573.39011797,46290956.20918649,45283575.24733588,53705893.17447563,6922148.759119999,152202573.39011797,105530494.041341,20067560.910709,38209790.618461005,5045920.420571,16139816.504112002,18260738.307157,6436027.691499,1370639.5888319996,20305446.86275399,3875499.176168,9189746.139228,13301387.170626
62,2022-03-01,168982.5,24612.4,168982502.27879015,164321107.28065014,4661394.998140001,168982502.27879015,51262080.993980005,47364363.87904,62416016.53691001,7940040.868859998,168982502.27879015,118823011.688603,19759206.70563,45418860.16169,5922819.508782999,18419163.95965,20827602.019110005,6886240.028900002,1589119.30484,22942013.091680005,3912852.4257200006,10898787.98983,12405837.082960002
63,2022-04-01,177148.1,24140.5,177148082.8202,173003799.07694,4144283.743260001,177148082.8202,53189998.67572,50063972.79192998,65357591.09137,8536520.261189999,177148082.8202,127796957.026236,20641687.399903007,49991675.91444399,6746166.557106999,19309461.586726,22877841.239947,6510665.780792001,1719458.547317,23131265.845283996,4228053.873539001,10081330.452604,11910475.622541996
64,2022-05-01,179639.2,23234.2,179639238.64318994,175358487.53030995,4280751.112880001,179639238.64318994,52738110.61500003,49886787.85874002,68070088.22774003,8944251.94171,179639238.64318994,126457871.761048,18583941.030642,50150351.46048001,6667329.664570002,20121124.431525,22841532.846609,6314109.470376001,1779482.856846,23578638.709904,5213152.564451,12039595.551802,12349980.055988
